name,math,english,chinese,avg
Student52,69.0,59.0,92.0,73.3
Student53,77.0,60.0,80.0,72.3
Student54,unknown,87.0,50.0,68.5
Student55,56.0,55.0,69.0,60.0
Student56,93.0,90.0,61.0,81.3
Student57,57.0,96.0,66.0,73.0
Student58,96.0,83.0,64.0,81.0
Student59,84.0,85.0,83.0,84.0
Student60,63.0,86.0,99.0,82.7
Student61,66.0,66.0,65.0,65.7
Student62,85.0,89.0,53.0,75.7
Student63,99.0,89.0,57.0,81.7
Student64,89.0,61.0,83.0,77.7
Student65,53.0,70.0,95.0,72.7
Student66,51.0,89.0,74.0,71.3
Student67,55.0,68.0,64.0,62.3
Student68,91.0,52.0,77.0,73.3
Student69,53.0,67.0,58.0,59.3
Student70,78.0,68.0,51.0,65.7
Student71,67.0,96.0,66.0,76.3
Student72,75.0,55.0,59.0,63.0
Student73,93.0,65.0,58.0,72.0
Student74,83.0,57.0,80.0,73.3
Student75,59.0,97.0,51.0,69.0
Student76,85.0,67.0,73.0,75.0
Student77,63.0,97.0,68.0,76.0
Student78,80.0,92.0,66.0,79.3
Student79,97.0,88.0,92.0,92.3
Student80,64.0,98.0,98.0,86.7
Student81,57.0,98.0,59.0,71.3
Student82,63.0,61.0,99.0,74.3
Student83,72.0,94.0,77.0,81.0
Student84,89.0,59.0,87.0,78.3
Student85,70.0,56.0,97.0,74.3
Student86,65.0,95.0,77.0,79.0
Student87,94.0,unknown,99.0,96.5
Student88,67.0,98.0,99.0,88.0
Student89,96.0,85.0,50.0,77.0
Student90,73.0,70.0,52.0,65.0
Student91,unknown,86.0,64.0,75.0
Student92,74.0,73.0,59.0,68.7
Student93,94.0,74.0,70.0,79.3
Student94,90.0,56.0,86.0,77.3
Student95,78.0,91.0,64.0,77.7
Student96,64.0,66.0,72.0,67.3
Student97,unknown,78.0,63.0,70.5
Student98,50.0,79.0,64.0,64.3
Student99,74.0,56.0,59.0,63.0
Student100,56.0,82.0,58.0,65.3
Student101,58.0,56.0,93.0,69.0
Student102,73.0,73.0,88.0,78.0
Student103,50.0,60.0,54.0,54.7
Student104,93.0,58.0,74.0,75.0
Student105,57.0,61.0,91.0,69.7
Student106,73.0,84.0,75.0,77.3
Student107,unknown,53.0,57.0,55.0
Student108,66.0,85.0,71.0,74.0
Student109,57.0,77.0,unknown,67.0
Student110,84.0,62.0,97.0,81.0
Student111,84.0,72.0,61.0,72.3
Student112,82.0,68.0,unknown,75.0
Student113,54.0,91.0,59.0,68.0
Student114,91.0,86.0,97.0,91.3
Student115,88.0,88.0,59.0,78.3
Student116,90.0,73.0,58.0,73.7
Student117,77.0,65.0,75.0,72.3
Student118,56.0,82.0,84.0,74.0
Student119,58.0,61.0,76.0,65.0
Student120,57.0,83.0,80.0,73.3
Student121,61.0,56.0,68.0,61.7
Student122,83.0,60.0,92.0,78.3
Student123,82.0,80.0,87.0,83.0
Student124,97.0,78.0,55.0,76.7
Student125,72.0,62.0,64.0,66.0
Student126,73.0,unknown,78.0,75.5
Student127,86.0,51.0,96.0,77.7
Student128,84.0,88.0,94.0,88.7
Student129,93.0,64.0,54.0,70.3
Student130,89.0,60.0,63.0,70.7
Student131,71.0,83.0,51.0,68.3
Student132,76.0,88.0,72.0,78.7
Student133,84.0,unknown,93.0,88.5
Student134,50.0,60.0,95.0,68.3
Student135,84.0,78.0,68.0,76.7
Student136,86.0,51.0,73.0,70.0
Student137,96.0,65.0,69.0,76.7
Student138,63.0,88.0,96.0,82.3
Student139,52.0,62.0,76.0,63.3
Student140,50.0,86.0,73.0,69.7
Student141,54.0,66.0,66.0,62.0
Student142,75.0,70.0,74.0,73.0
Student143,63.0,93.0,95.0,83.7
Student144,88.0,68.0,80.0,78.7
Student145,76.0,56.0,77.0,69.7
Student146,58.0,87.0,99.0,81.3
Student147,64.0,57.0,77.0,66.0
Student148,64.0,62.0,71.0,65.7
Student149,75.0,86.0,54.0,71.7
Student150,91.0,51.0,93.0,78.3
Student151,62.0,90.0,91.0,81.0
Student152,81.0,60.0,unknown,70.5
Student153,unknown,73.0,87.0,80.0
Student154,98.0,unknown,77.0,87.5
Student155,81.0,75.0,unknown,78.0
Student156,53.0,56.0,61.0,56.7
Student157,79.0,88.0,74.0,80.3
Student158,86.0,68.0,87.0,80.3
Student159,unknown,55.0,93.0,74.0
Student160,88.0,92.0,64.0,81.3
Student161,94.0,78.0,93.0,88.3
Student162,64.0,92.0,90.0,82.0
Student163,92.0,88.0,83.0,87.7
Student164,78.0,51.0,94.0,74.3
Student165,85.0,68.0,62.0,71.7
Student166,62.0,53.0,57.0,57.3
Student167,unknown,55.0,62.0,58.5
Student168,56.0,98.0,85.0,79.7
Student169,71.0,86.0,55.0,70.7
Student170,77.0,77.0,87.0,80.3
Student171,51.0,79.0,81.0,70.3
Student172,91.0,56.0,70.0,72.3
Student173,94.0,58.0,93.0,81.7
Student174,55.0,74.0,93.0,74.0
Student175,77.0,82.0,98.0,85.7
Student176,77.0,50.0,56.0,61.0
Student177,93.0,55.0,75.0,74.3
Student178,93.0,67.0,64.0,74.7
Student179,69.0,59.0,98.0,75.3
Student180,79.0,77.0,91.0,82.3
Student181,60.0,60.0,72.0,64.0
Student182,77.0,82.0,87.0,82.0
Student183,74.0,50.0,90.0,71.3
Student184,88.0,62.0,64.0,71.3
Student185,82.0,86.0,97.0,88.3
Student186,50.0,69.0,89.0,69.3
Student187,76.0,50.0,65.0,63.7
Student188,62.0,52.0,81.0,65.0
Student189,unknown,67.0,86.0,76.5
Student190,52.0,90.0,67.0,69.7
Student191,88.0,63.0,69.0,73.3
Student192,55.0,80.0,95.0,76.7
Student193,57.0,76.0,51.0,61.3
Student194,76.0,66.0,72.0,71.3
Student195,58.0,95.0,unknown,76.5
Student196,86.0,78.0,52.0,72.0
Student197,82.0,85.0,95.0,87.3
Student198,91.0,86.0,88.0,88.3
Student199,93.0,75.0,96.0,88.0
Student200,73.0,66.0,98.0,79.0
Student201,unknown,71.0,50.0,60.5
Student202,81.0,74.0,90.0,81.7
Student203,81.0,51.0,71.0,67.7
Student204,73.0,71.0,78.0,74.0
Student205,90.0,54.0,63.0,69.0
Student206,98.0,53.0,97.0,82.7
Student207,98.0,85.0,77.0,86.7
Student208,61.0,55.0,70.0,62.0
Student209,88.0,70.0,94.0,84.0
Student210,51.0,62.0,81.0,64.7
Student211,52.0,86.0,55.0,64.3
Student212,98.0,74.0,50.0,74.0
Student213,86.0,75.0,70.0,77.0
Student214,98.0,88.0,53.0,79.7
Student215,66.0,69.0,52.0,62.3
Student216,98.0,82.0,98.0,92.7
Student217,51.0,63.0,79.0,64.3
Student218,51.0,85.0,80.0,72.0
Student219,77.0,66.0,83.0,75.3
Student220,72.0,70.0,68.0,70.0
Student221,86.0,95.0,69.0,83.3
Student222,81.0,65.0,72.0,72.7
Student223,82.0,95.0,89.0,88.7
Student224,50.0,65.0,74.0,63.0
Student225,68.0,69.0,64.0,67.0
Student226,51.0,78.0,87.0,72.0
Student227,93.0,77.0,72.0,80.7
Student228,75.0,57.0,51.0,61.0
Student229,81.0,73.0,64.0,72.7
Student230,55.0,52.0,93.0,66.7
Student231,81.0,74.0,84.0,79.7
Student232,53.0,68.0,59.0,60.0
Student233,60.0,82.0,63.0,68.3
Student234,66.0,51.0,76.0,64.3
Student235,87.0,64.0,63.0,71.3
Student236,73.0,71.0,84.0,76.0
Student237,54.0,59.0,82.0,65.0
Student238,83.0,67.0,50.0,66.7
Student239,55.0,71.0,83.0,69.7
Student240,71.0,95.0,68.0,78.0
Student241,60.0,98.0,73.0,77.0
Student242,97.0,76.0,91.0,88.0
Student243,65.0,62.0,53.0,60.0
Student244,82.0,unknown,85.0,83.5
Student245,58.0,54.0,62.0,58.0
Student246,55.0,75.0,81.0,70.3
Student247,65.0,62.0,58.0,61.7
Student248,78.0,76.0,88.0,80.7
Student249,52.0,63.0,65.0,60.0
Student250,69.0,73.0,99.0,80.3
Student251,85.0,52.0,52.0,63.0
Student252,68.0,unknown,unknown,68.0
Student253,75.0,98.0,59.0,77.3
Student254,52.0,79.0,71.0,67.3
Student255,68.0,84.0,97.0,83.0
Student256,69.0,97.0,52.0,72.7
Student257,81.0,63.0,unknown,72.0
Student258,56.0,61.0,74.0,63.7
Student259,90.0,77.0,91.0,86.0
Student260,82.0,93.0,97.0,90.7
Student261,89.0,78.0,57.0,74.7
Student262,88.0,92.0,58.0,79.3
Student263,67.0,66.0,64.0,65.7
Student264,89.0,89.0,81.0,86.3
Student265,50.0,98.0,52.0,66.7
Student266,60.0,70.0,53.0,61.0
Student267,77.0,unknown,79.0,78.0
Student268,74.0,69.0,62.0,68.3
Student269,99.0,60.0,93.0,84.0
Student270,72.0,unknown,70.0,71.0
Student271,80.0,59.0,90.0,76.3
Student272,79.0,59.0,95.0,77.7
Student273,91.0,92.0,68.0,83.7
Student274,84.0,55.0,88.0,75.7
Student275,56.0,85.0,97.0,79.3
Student276,65.0,73.0,71.0,69.7
Student277,75.0,61.0,69.0,68.3
Student278,97.0,92.0,86.0,91.7
Student279,98.0,72.0,80.0,83.3
Student280,51.0,76.0,59.0,62.0
Student281,50.0,94.0,67.0,70.3
Student282,97.0,86.0,92.0,91.7
Student283,unknown,55.0,88.0,71.5
Student284,54.0,50.0,95.0,66.3
Student285,86.0,55.0,69.0,70.0
Student286,81.0,99.0,67.0,82.3
Student287,58.0,71.0,60.0,63.0
Student288,90.0,90.0,71.0,83.7
Student289,84.0,73.0,93.0,83.3
Student290,68.0,74.0,67.0,69.7
Student291,97.0,64.0,83.0,81.3
Student292,65.0,75.0,72.0,70.7
Student293,52.0,57.0,50.0,53.0
Student294,69.0,73.0,59.0,67.0
Student295,73.0,97.0,50.0,73.3
Student296,82.0,87.0,87.0,85.3
Student297,73.0,55.0,88.0,72.0
Student298,60.0,84.0,98.0,80.7
Student299,98.0,91.0,58.0,82.3
Student300,57.0,50.0,80.0,62.3
Student301,85.0,95.0,56.0,78.7
Student302,87.0,85.0,66.0,79.3
Student303,89.0,61.0,84.0,78.0
Student304,69.0,87.0,97.0,84.3
Student305,84.0,60.0,86.0,76.7
Student306,97.0,61.0,67.0,75.0
Student307,74.0,91.0,82.0,82.3
Student308,84.0,unknown,53.0,68.5
Student309,74.0,88.0,72.0,78.0
Student310,78.0,56.0,60.0,64.7
Student311,67.0,60.0,unknown,63.5
Student312,95.0,unknown,79.0,87.0
Student313,67.0,80.0,57.0,68.0
Student314,51.0,82.0,89.0,74.0
Student315,84.0,62.0,54.0,66.7
Student316,65.0,67.0,61.0,64.3
Student317,90.0,90.0,50.0,76.7
Student318,unknown,73.0,64.0,68.5
Student319,82.0,58.0,74.0,71.3
Student320,unknown,80.0,67.0,73.5
Student321,unknown,90.0,87.0,88.5
Student322,63.0,59.0,91.0,71.0
Student323,70.0,51.0,95.0,72.0
Student324,97.0,87.0,75.0,86.3
Student325,69.0,64.0,89.0,74.0
Student326,57.0,52.0,52.0,53.7
Student327,56.0,92.0,71.0,73.0
Student328,52.0,80.0,75.0,69.0
Student329,66.0,55.0,68.0,63.0
Student330,82.0,52.0,93.0,75.7
Student331,97.0,60.0,93.0,83.3
Student332,61.0,64.0,96.0,73.7
Student333,71.0,94.0,88.0,84.3
Student334,unknown,77.0,85.0,81.0
Student335,95.0,59.0,70.0,74.7
Student336,79.0,87.0,90.0,85.3
Student337,87.0,96.0,97.0,93.3
Student338,87.0,99.0,75.0,87.0
Student339,94.0,99.0,62.0,85.0
Student340,unknown,56.0,85.0,70.5
Student341,76.0,64.0,73.0,71.0
Student342,76.0,unknown,90.0,83.0
Student343,83.0,67.0,75.0,75.0
Student344,70.0,90.0,70.0,76.7
Student345,79.0,73.0,67.0,73.0
Student346,82.0,51.0,64.0,65.7
Student347,77.0,89.0,64.0,76.7
Student348,96.0,69.0,55.0,73.3
Student349,82.0,83.0,92.0,85.7
Student350,54.0,92.0,80.0,75.3
Student351,97.0,75.0,77.0,83.0
Student352,68.0,56.0,57.0,60.3
Student353,53.0,87.0,78.0,72.7
Student354,84.0,79.0,70.0,77.7
Student355,98.0,91.0,66.0,85.0
Student356,66.0,54.0,98.0,72.7
Student357,93.0,60.0,unknown,76.5
Student358,77.0,50.0,99.0,75.3
Student359,79.0,83.0,85.0,82.3
Student360,78.0,50.0,80.0,69.3
Student361,95.0,68.0,96.0,86.3
Student362,55.0,51.0,83.0,63.0
Student363,84.0,70.0,51.0,68.3
Student364,90.0,69.0,91.0,83.3
Student365,86.0,72.0,52.0,70.0
Student366,73.0,70.0,79.0,74.0
Student367,78.0,73.0,57.0,69.3
Student368,98.0,53.0,56.0,69.0
Student369,95.0,61.0,61.0,72.3
Student370,80.0,71.0,68.0,73.0
Student371,84.0,69.0,75.0,76.0
Student372,82.0,67.0,77.0,75.3
Student373,70.0,50.0,unknown,60.0
Student374,81.0,79.0,63.0,74.3
Student375,72.0,82.0,97.0,83.7
Student376,82.0,73.0,63.0,72.7
Student377,52.0,63.0,52.0,55.7
Student378,67.0,85.0,99.0,83.7
Student379,74.0,54.0,78.0,68.7
Student380,91.0,60.0,55.0,68.7
Student381,80.0,73.0,98.0,83.7
Student382,52.0,80.0,72.0,68.0
Student383,89.0,62.0,77.0,76.0
Student384,95.0,65.0,63.0,74.3
Student385,73.0,73.0,63.0,69.7
Student386,99.0,62.0,69.0,76.7
Student387,81.0,73.0,62.0,72.0
Student388,96.0,75.0,76.0,82.3
Student389,71.0,51.0,84.0,68.7
Student390,72.0,65.0,94.0,77.0
Student391,51.0,87.0,51.0,63.0
Student392,76.0,95.0,90.0,87.0
Student393,91.0,50.0,94.0,78.3
Student394,51.0,98.0,89.0,79.3
Student395,75.0,60.0,97.0,77.3
Student396,66.0,84.0,73.0,74.3
Student397,89.0,92.0,78.0,86.3
Student398,82.0,78.0,52.0,70.7
Student399,58.0,86.0,94.0,79.3
Student400,92.0,66.0,53.0,70.3
Student401,unknown,88.0,99.0,93.5
Student402,88.0,91.0,51.0,76.7
Student403,78.0,77.0,69.0,74.7
Student404,91.0,78.0,64.0,77.7
Student405,75.0,92.0,98.0,88.3
Student406,84.0,52.0,81.0,72.3
Student407,99.0,59.0,91.0,83.0
Student408,74.0,91.0,50.0,71.7
Student409,73.0,63.0,87.0,74.3
Student410,62.0,61.0,84.0,69.0
Student411,56.0,unknown,56.0,56.0
Student412,85.0,91.0,94.0,90.0
Student413,94.0,79.0,62.0,78.3
Student414,69.0,81.0,98.0,82.7
Student415,50.0,81.0,50.0,60.3
Student416,57.0,91.0,63.0,70.3
Student417,95.0,81.0,78.0,84.7
Student418,65.0,75.0,52.0,64.0
Student419,63.0,50.0,95.0,69.3
Student420,61.0,91.0,73.0,75.0
Student421,72.0,51.0,50.0,57.7
Student422,64.0,66.0,97.0,75.7
Student423,77.0,unknown,59.0,68.0
Student424,83.0,88.0,62.0,77.7
Student425,51.0,56.0,85.0,64.0
Student426,81.0,76.0,58.0,71.7
Student427,72.0,58.0,63.0,64.3
Student428,71.0,71.0,85.0,75.7
Student429,74.0,83.0,59.0,72.0
Student430,71.0,95.0,89.0,85.0
Student431,71.0,98.0,72.0,80.3
Student432,98.0,50.0,84.0,77.3
Student433,91.0,58.0,56.0,68.3
Student434,55.0,69.0,91.0,71.7
Student435,64.0,68.0,84.0,72.0
Student436,92.0,85.0,51.0,76.0
Student437,86.0,unknown,unknown,86.0
Student438,82.0,94.0,58.0,78.0
Student439,57.0,53.0,96.0,68.7
Student440,93.0,58.0,66.0,72.3
Student441,93.0,90.0,88.0,90.3
Student442,54.0,71.0,67.0,64.0
Student443,88.0,67.0,64.0,73.0
Student444,53.0,61.0,67.0,60.3
Student445,unknown,91.0,73.0,82.0
Student446,94.0,92.0,72.0,86.0
Student447,81.0,88.0,61.0,76.7
Student448,79.0,58.0,72.0,69.7
Student449,96.0,55.0,70.0,73.7
Student450,84.0,68.0,75.0,75.7
Student451,89.0,97.0,57.0,81.0
Student452,65.0,96.0,79.0,80.0
Student453,unknown,56.0,83.0,69.5
Student454,99.0,65.0,51.0,71.7
Student455,91.0,54.0,54.0,66.3
Student456,79.0,65.0,80.0,74.7
Student457,68.0,50.0,82.0,66.7
Student458,66.0,86.0,53.0,68.3
Student459,68.0,88.0,55.0,70.3
Student460,77.0,68.0,72.0,72.3
Student461,75.0,86.0,94.0,85.0
Student462,86.0,66.0,68.0,73.3
Student463,75.0,75.0,92.0,80.7
Student464,72.0,71.0,94.0,79.0
Student465,58.0,57.0,unknown,57.5
Student466,61.0,82.0,88.0,77.0
Student467,50.0,51.0,62.0,54.3
Student468,50.0,79.0,50.0,59.7
Student469,96.0,96.0,55.0,82.3
Student470,83.0,69.0,56.0,69.3
Student471,unknown,67.0,97.0,82.0
Student472,97.0,92.0,76.0,88.3
Student473,74.0,unknown,64.0,69.0
Student474,89.0,73.0,83.0,81.7
Student475,94.0,53.0,72.0,73.0
Student476,unknown,86.0,97.0,91.5
Student477,65.0,53.0,98.0,72.0
Student478,88.0,62.0,73.0,74.3
Student479,54.0,74.0,64.0,64.0
Student480,71.0,62.0,84.0,72.3
Student481,78.0,67.0,53.0,66.0
Student482,52.0,73.0,93.0,72.7
Student483,61.0,51.0,86.0,66.0
Student484,75.0,97.0,66.0,79.3
Student485,65.0,82.0,80.0,75.7
Student486,86.0,68.0,87.0,80.3
Student487,71.0,58.0,59.0,62.7
Student488,78.0,77.0,99.0,84.7
Student489,63.0,84.0,76.0,74.3
Student490,77.0,88.0,91.0,85.3
Student491,54.0,59.0,55.0,56.0
Student492,96.0,50.0,55.0,67.0
Student493,98.0,91.0,64.0,84.3
Student494,79.0,70.0,53.0,67.3
Student495,95.0,58.0,97.0,83.3
Student496,54.0,96.0,89.0,79.7
Student497,61.0,64.0,unknown,62.5
Student498,65.0,84.0,98.0,82.3
Student499,75.0,54.0,94.0,74.3
Student500,75.0,90.0,96.0,87.0
Student501,97.0,71.0,75.0,81.0
Student502,70.0,90.0,80.0,80.0
Student503,88.0,unknown,51.0,69.5
Student504,85.0,56.0,77.0,72.7
Student505,82.0,72.0,91.0,81.7
Student506,79.0,93.0,62.0,78.0
Student507,86.0,74.0,67.0,75.7
Student508,72.0,76.0,79.0,75.7
Student509,59.0,90.0,60.0,69.7
Student510,54.0,55.0,62.0,57.0
Student511,85.0,unknown,73.0,79.0
Student512,83.0,58.0,78.0,73.0
Student513,80.0,98.0,54.0,77.3
Student514,59.0,82.0,84.0,75.0
Student515,68.0,55.0,68.0,63.7
Student516,81.0,86.0,62.0,76.3
Student517,50.0,80.0,54.0,61.3
Student518,54.0,83.0,93.0,76.7
Student519,94.0,90.0,63.0,82.3
Student520,53.0,78.0,unknown,65.5
Student521,unknown,63.0,71.0,67.0
Student522,73.0,85.0,58.0,72.0
Student523,65.0,85.0,98.0,82.7
Student524,51.0,64.0,89.0,68.0
Student525,98.0,57.0,75.0,76.7
Student526,77.0,75.0,94.0,82.0
Student527,81.0,85.0,54.0,73.3
Student528,76.0,97.0,78.0,83.7
Student529,69.0,70.0,71.0,70.0
Student530,73.0,77.0,98.0,82.7
Student531,61.0,53.0,unknown,57.0
Student532,99.0,65.0,77.0,80.3
Student533,84.0,71.0,87.0,80.7
Student534,82.0,61.0,63.0,68.7
Student535,82.0,65.0,96.0,81.0
Student536,92.0,89.0,63.0,81.3
Student537,86.0,unknown,92.0,89.0
Student538,61.0,91.0,60.0,70.7
Student539,52.0,86.0,58.0,65.3
Student540,50.0,78.0,unknown,64.0
Student541,82.0,67.0,96.0,81.7
Student542,89.0,59.0,93.0,80.3
Student543,59.0,91.0,55.0,68.3
Student544,92.0,88.0,50.0,76.7
Student545,93.0,67.0,74.0,78.0
Student546,78.0,50.0,65.0,64.3
Student547,62.0,88.0,64.0,71.3
Student548,61.0,70.0,83.0,71.3
Student549,80.0,50.0,66.0,65.3
Student550,95.0,64.0,52.0,70.3
Student551,51.0,53.0,unknown,52.0
Student552,99.0,69.0,86.0,84.7
Student553,84.0,59.0,66.0,69.7
Student554,72.0,72.0,98.0,80.7
Student555,66.0,90.0,unknown,78.0
Student556,75.0,83.0,50.0,69.3
Student557,57.0,95.0,56.0,69.3
Student558,78.0,97.0,75.0,83.3
Student559,75.0,82.0,96.0,84.3
Student560,59.0,83.0,88.0,76.7
Student561,75.0,88.0,68.0,77.0
Student562,83.0,59.0,79.0,73.7
Student563,90.0,69.0,92.0,83.7
Student564,56.0,50.0,63.0,56.3
Student565,53.0,62.0,62.0,59.0
Student566,99.0,50.0,69.0,72.7
Student567,94.0,54.0,75.0,74.3
Student568,60.0,65.0,76.0,67.0
Student569,78.0,64.0,74.0,72.0
Student570,85.0,98.0,58.0,80.3
Student571,74.0,77.0,90.0,80.3
Student572,70.0,80.0,97.0,82.3
Student573,85.0,72.0,61.0,72.7
Student574,59.0,97.0,59.0,71.7
Student575,86.0,94.0,55.0,78.3
Student576,58.0,92.0,99.0,83.0
Student577,73.0,66.0,83.0,74.0
Student578,84.0,98.0,90.0,90.7
Student579,98.0,83.0,68.0,83.0
Student580,84.0,62.0,55.0,67.0
Student581,97.0,63.0,51.0,70.3
Student582,85.0,60.0,64.0,69.7
Student583,67.0,77.0,66.0,70.0
Student584,98.0,91.0,65.0,84.7
Student585,88.0,81.0,77.0,82.0
Student586,81.0,84.0,70.0,78.3
Student587,73.0,80.0,57.0,70.0
Student588,72.0,66.0,59.0,65.7
Student589,81.0,unknown,59.0,70.0
Student590,86.0,58.0,99.0,81.0
Student591,unknown,59.0,59.0,59.0
Student592,98.0,57.0,58.0,71.0
Student593,62.0,70.0,77.0,69.7
Student594,72.0,62.0,73.0,69.0
Student595,74.0,99.0,68.0,80.3
Student596,84.0,54.0,unknown,69.0
Student597,90.0,55.0,53.0,66.0
Student598,79.0,79.0,52.0,70.0
Student599,66.0,80.0,91.0,79.0
Student600,98.0,unknown,61.0,79.5
Student601,69.0,60.0,67.0,65.3
Student602,97.0,unknown,72.0,84.5
Student603,74.0,97.0,69.0,80.0
Student604,71.0,58.0,55.0,61.3
Student605,62.0,51.0,83.0,65.3
Student606,68.0,86.0,91.0,81.7
Student607,98.0,unknown,51.0,74.5
Student608,85.0,53.0,79.0,72.3
Student609,61.0,85.0,58.0,68.0
Student610,90.0,unknown,76.0,83.0
Student611,68.0,52.0,91.0,70.3
Student612,61.0,58.0,unknown,59.5
Student613,58.0,71.0,89.0,72.7
Student614,56.0,72.0,73.0,67.0
Student615,77.0,61.0,98.0,78.7
Student616,63.0,59.0,66.0,62.7
Student617,80.0,unknown,78.0,79.0
Student618,68.0,92.0,85.0,81.7
Student619,96.0,59.0,99.0,84.7
Student620,65.0,79.0,61.0,68.3
Student621,54.0,71.0,80.0,68.3
Student622,84.0,55.0,98.0,79.0
Student623,61.0,99.0,58.0,72.7
Student624,74.0,51.0,68.0,64.3
Student625,70.0,79.0,95.0,81.3
Student626,85.0,51.0,95.0,77.0
Student627,unknown,81.0,66.0,73.5
Student628,65.0,91.0,51.0,69.0
Student629,88.0,65.0,89.0,80.7
Student630,94.0,61.0,54.0,69.7
Student631,91.0,50.0,88.0,76.3
Student632,88.0,57.0,97.0,80.7
Student633,63.0,97.0,65.0,75.0
Student634,80.0,99.0,66.0,81.7
Student635,unknown,62.0,76.0,69.0
Student636,84.0,64.0,56.0,68.0
Student637,72.0,93.0,57.0,74.0
Student638,78.0,57.0,unknown,67.5
Student639,92.0,59.0,72.0,74.3
Student640,60.0,95.0,81.0,78.7
Student641,67.0,54.0,92.0,71.0
Student642,96.0,99.0,96.0,97.0
Student643,61.0,68.0,67.0,65.3
Student644,58.0,96.0,87.0,80.3
Student645,59.0,87.0,61.0,69.0
Student646,93.0,unknown,64.0,78.5
Student647,66.0,92.0,77.0,78.3
Student648,87.0,69.0,unknown,78.0
Student649,56.0,69.0,99.0,74.7
Student650,95.0,70.0,80.0,81.7
Student651,62.0,67.0,58.0,62.3
Student652,89.0,99.0,57.0,81.7
Student653,91.0,59.0,95.0,81.7
Student654,unknown,83.0,68.0,75.5
Student655,99.0,75.0,57.0,77.0
Student656,76.0,79.0,83.0,79.3
Student657,51.0,58.0,53.0,54.0
Student658,54.0,95.0,80.0,76.3
Student659,78.0,80.0,87.0,81.7
Student660,unknown,91.0,unknown,91.0
Student661,87.0,53.0,84.0,74.7
Student662,68.0,55.0,68.0,63.7
Student663,57.0,63.0,92.0,70.7
Student664,97.0,53.0,78.0,76.0
Student665,94.0,75.0,59.0,76.0
Student666,50.0,96.0,61.0,69.0
Student667,71.0,97.0,95.0,87.7
Student668,66.0,88.0,79.0,77.7
Student669,56.0,66.0,79.0,67.0
Student670,74.0,68.0,67.0,69.7
Student671,94.0,98.0,73.0,88.3
Student672,53.0,55.0,81.0,63.0
Student673,85.0,unknown,58.0,71.5
Student674,55.0,60.0,96.0,70.3
Student675,80.0,65.0,73.0,72.7
Student676,68.0,79.0,75.0,74.0
Student677,93.0,74.0,52.0,73.0
Student678,88.0,89.0,72.0,83.0
Student679,76.0,60.0,60.0,65.3
Student680,59.0,56.0,59.0,58.0
Student681,75.0,75.0,99.0,83.0
Student682,68.0,71.0,85.0,74.7
Student683,88.0,74.0,62.0,74.7
Student684,52.0,68.0,78.0,66.0
Student685,94.0,80.0,87.0,87.0
Student686,62.0,75.0,62.0,66.3
Student687,99.0,unknown,75.0,87.0
Student688,77.0,90.0,69.0,78.7
Student689,69.0,85.0,54.0,69.3
Student690,77.0,72.0,unknown,74.5
Student691,57.0,96.0,63.0,72.0
Student692,90.0,62.0,94.0,82.0
Student693,88.0,74.0,63.0,75.0
Student694,50.0,unknown,57.0,53.5
Student695,52.0,51.0,97.0,66.7
Student696,62.0,65.0,62.0,63.0
Student697,77.0,58.0,73.0,69.3
Student698,98.0,77.0,unknown,87.5
